epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,13014.4,0.24146,0.32577,0.17941,0.76725,0.98067,0.98958,0.98891,0.74476,0.82966,0.8125,0.84139,0.44997,0.43131,1.03576,0.19441,0.76971,9.9125e-05,9.9125e-05,9.9125e-05
95,13137.7,0.23259,0.31575,0.17473,0.76805,0.99288,1,0.995,0.75215,0.83642,0.84375,0.84089,0.43691,0.41999,1.0098,0.18698,0.76907,8.675e-05,8.675e-05,8.675e-05
96,13261,0.22711,0.30963,0.17087,0.76579,0.99232,1,0.995,0.75505,0.82589,0.83333,0.83255,0.44498,0.41212,0.98433,0.18618,0.76822,7.4375e-05,7.4375e-05,7.4375e-05
97,13383.7,0.22889,0.30282,0.17185,0.76733,0.99136,1,0.995,0.75667,0.81507,0.82292,0.83313,0.44714,0.41807,1.04509,0.18481,0.76856,6.2e-05,6.2e-05,6.2e-05
98,13506.6,0.22267,0.29546,0.16751,0.76932,0.98054,0.98958,0.98768,0.75047,0.81622,0.83185,0.83757,0.4642,0.41916,1.05452,0.18761,0.76855,4.9625e-05,4.9625e-05,4.9625e-05
99,13629.8,0.2201,0.29531,0.1673,0.76641,0.99194,1,0.995,0.75907,0.81541,0.82292,0.83693,0.44485,0.42146,1.06984,0.18661,0.7685,3.725e-05,3.725e-05,3.725e-05
100,13753.9,0.21643,0.29438,0.16451,0.76596,0.99219,1,0.995,0.76052,0.8163,0.83195,0.83855,0.4595,0.41432,1.04671,0.18639,0.76796,2.4875e-05,2.4875e-05,2.4875e-05
1,152.684,0.45476,0.6014,0.30215,0.79794,0.99297,0.98912,0.99433,0.75586,0.84173,0.83827,0.8098,0.42817,0.4448,0.59532,0.25941,0.76994,0.000404762,0.000404762,0.000404762
2,300.803,0.47737,0.63082,0.3168,0.79903,0.98823,0.98972,0.99235,0.74689,0.84001,0.8391,0.79876,0.42339,0.47515,0.61921,0.26607,0.77241,0.000813296,0.000813296,0.000813296
3,447.06,0.5004,0.64626,0.32977,0.80188,0.9882,0.98075,0.99063,0.75628,0.85886,0.85424,0.81815,0.44191,0.46669,0.61632,0.27965,0.77328,0.00121358,0.00121358,0.00121358
4,593.563,0.50577,0.63891,0.32812,0.8021,0.99385,0.98384,0.99074,0.74362,0.85975,0.85709,0.82477,0.45025,0.47283,0.64327,0.27705,0.77153,0.00121287,0.00121287,0.00121287
5,741.001,0.50463,0.65021,0.32486,0.80364,0.99059,0.99178,0.99133,0.74533,0.83745,0.83827,0.79453,0.42785,0.48902,0.61117,0.27631,0.77293,0.0012005,0.0012005,0.0012005
6,887.048,0.50835,0.63699,0.3248,0.80427,0.99151,0.99072,0.99428,0.74468,0.83094,0.83132,0.77563,0.41122,0.46429,0.6037,0.27997,0.77204,0.00118812,0.00118812,0.00118812
7,1034.67,0.4802,0.63813,0.31073,0.79803,0.98546,0.98958,0.98746,0.73647,0.85382,0.84923,0.8231,0.45708,0.47958,0.59841,0.27325,0.77441,0.00117575,0.00117575,0.00117575
8,1184.64,0.48563,0.62698,0.31211,0.80246,0.98847,0.99232,0.99085,0.74879,0.84222,0.84594,0.8052,0.44647,0.47375,0.61987,0.26871,0.77401,0.00116337,0.00116337,0.00116337
9,1331.4,0.46531,0.61402,0.30291,0.79954,0.98474,0.98742,0.98661,0.73878,0.84716,0.84642,0.81473,0.43203,0.525,0.72496,0.28231,0.77666,0.001151,0.001151,0.001151
10,1477.32,0.4664,0.61312,0.30148,0.79614,0.98919,0.99067,0.98944,0.74338,0.8614,0.85734,0.82214,0.4357,0.45694,0.66765,0.26216,0.77324,0.00113863,0.00113863,0.00113863
11,1623.57,0.46864,0.60092,0.30265,0.80079,0.98928,0.98174,0.98154,0.72915,0.85229,0.85234,0.82393,0.46959,0.50247,0.68669,0.27737,0.77589,0.00112625,0.00112625,0.00112625
12,1769.63,0.45606,0.59406,0.29659,0.79534,0.98234,0.98729,0.99045,0.69506,0.85406,0.8607,0.82765,0.46092,0.55764,0.73963,0.28815,0.78014,0.00111388,0.00111388,0.00111388
13,1916.06,0.45477,0.5934,0.29229,0.79563,0.98047,0.99251,0.98944,0.73526,0.85394,0.86184,0.82394,0.47166,0.4877,0.60059,0.25233,0.77294,0.0011015,0.0011015,0.0011015
14,2063.19,0.46078,0.6012,0.2904,0.79694,0.99172,0.99507,0.99429,0.73333,0.83778,0.84302,0.78489,0.41882,0.48359,0.67311,0.25047,0.77312,0.00108913,0.00108913,0.00108913
15,2209.16,0.45046,0.58253,0.28677,0.79794,0.98662,0.98871,0.98776,0.74192,0.84569,0.84119,0.79828,0.42995,0.50934,0.70134,0.2604,0.77558,0.00107675,0.00107675,0.00107675
16,2356.38,0.45082,0.58841,0.28378,0.79595,0.98906,0.98648,0.98558,0.72226,0.85271,0.85124,0.81493,0.44386,0.49591,0.66024,0.25617,0.77398,0.00106437,0.00106437,0.00106437
17,2502.6,0.43344,0.56361,0.27936,0.79489,0.99292,0.99781,0.99453,0.7587,0.84808,0.84466,0.79399,0.42667,0.46657,0.65732,0.24857,0.77142,0.001052,0.001052,0.001052
18,2648.49,0.42517,0.55587,0.27171,0.79381,0.9886,0.99287,0.99002,0.75395,0.85413,0.85334,0.81506,0.44028,0.45201,0.66865,0.23819,0.77108,0.00103962,0.00103962,0.00103962
19,2794.73,0.43596,0.56494,0.27658,0.79734,0.9898,0.99091,0.99154,0.74401,0.85206,0.85234,0.81254,0.43577,0.4705,0.65235,0.24412,0.77191,0.00102725,0.00102725,0.00102725
20,2941.92,0.41758,0.54291,0.26964,0.79166,0.99386,0.98436,0.98908,0.74434,0.81809,0.81762,0.76375,0.41577,0.46937,0.74464,0.24888,0.77362,0.00101488,0.00101488,0.00101488
