epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,8788.68,0.31185,0.40615,0.22429,0.7845,0,0.99811,1,0.995,0.89838,0.94606,0.94792,0.90787,0.53944,0.29643,0.58958,0.15551,0.8307,0,0.00026422,0.00026422,0.00026422
87,8890.51,0.30812,0.40744,0.22287,0.78169,0,0.99815,1,0.995,0.90191,0.94612,0.94792,0.90502,0.52863,0.30262,0.55946,0.16356,0.83104,0,0.000247716,0.000247716,0.000247716
88,8993.49,0.29673,0.39438,0.21561,0.78366,0,0.99802,1,0.995,0.8949,0.946,0.94792,0.90154,0.51695,0.30282,0.57603,0.15544,0.83087,0,0.000231213,0.000231213,0.000231213
89,9094.96,0.29273,0.40439,0.21649,0.7809,0,0.99766,1,0.995,0.89774,0.94565,0.94792,0.90273,0.526,0.29935,0.59238,0.15825,0.83071,0,0.00021471,0.00021471,0.00021471
90,9197.05,0.29378,0.40049,0.22072,0.78336,0,0.99765,1,0.995,0.90144,0.94561,0.94792,0.91176,0.53187,0.30672,0.5646,0.1527,0.83055,0,0.000198206,0.000198206,0.000198206
91,9288.77,0.31579,0.43222,0.24912,0.77453,0,0.99718,1,0.995,0.8892,0.95554,0.95833,0.92887,0.51144,0.31182,0.58488,0.16406,0.83091,0,0.000181703,0.000181703,0.000181703
92,9380.16,0.30173,0.40532,0.21999,0.77113,0,0.99776,1,0.995,0.89853,0.95612,0.95833,0.93015,0.51941,0.309,0.52606,0.16283,0.83134,0,0.0001652,0.0001652,0.0001652
93,9471.46,0.29682,0.4025,0.21416,0.772,0,0.99796,1,0.995,0.89981,0.94594,0.94792,0.91013,0.52727,0.30139,0.53653,0.161,0.83018,0,0.000148696,0.000148696,0.000148696
94,9562.8,0.28753,0.37909,0.20763,0.77082,0,0.99805,1,0.995,0.90883,0.95641,0.95833,0.92749,0.5354,0.28605,0.54488,0.14984,0.82922,0,0.000132193,0.000132193,0.000132193
95,9654.26,0.27812,0.38685,0.20653,0.7646,0,0.99809,1,0.995,0.9071,0.95648,0.95833,0.92529,0.52518,0.28754,0.55312,0.15308,0.82927,0,0.00011569,0.00011569,0.00011569
96,9745.34,0.28039,0.37254,0.20344,0.77056,0,0.99776,1,0.995,0.88968,0.95612,0.95833,0.9215,0.53038,0.29623,0.53391,0.15312,0.82982,0,9.91865e-05,9.91865e-05,9.91865e-05
97,9836.38,0.27278,0.36709,0.2014,0.7746,0,0.9979,1,0.995,0.9025,0.94585,0.94792,0.9049,0.51593,0.29289,0.56727,0.15187,0.82963,0,8.26832e-05,8.26832e-05,8.26832e-05
98,9927.94,0.2735,0.36352,0.20024,0.76986,0,0.9982,1,0.995,0.89611,0.94613,0.94792,0.90177,0.52037,0.30798,0.57567,0.1556,0.8301,0,6.61799e-05,6.61799e-05,6.61799e-05
99,10019.6,0.28039,0.39047,0.20257,0.7673,0,0.99803,1,0.995,0.89867,0.94596,0.94792,0.90281,0.53057,0.30418,0.56657,0.15084,0.8298,0,4.96766e-05,4.96766e-05,4.96766e-05
100,10111.2,0.27754,0.35659,0.19817,0.77917,0,0.99785,1,0.995,0.89612,0.94579,0.94792,0.90563,0.52281,0.2981,0.56894,0.14912,0.82943,0,3.31733e-05,3.31733e-05,3.31733e-05
